,CODE,DATE_COLLECTE,DATE_HEURE_DEBUT,DATE_HEURE_FIN,MISSION,IMMAT,LIBELLE_CIRCUIT,TEMPS_D_ACTIVITE,TEMPS_D_ARRET,TEMPS_DE_MOTEUR_OFF,TEMPS_DE_PAUSE,TEMPS_DE_MARCHE_ARRIERE,TEMPS_DE_SERVICE,KM_D_ACTIVITE,KM_DE_HLP,KM_DE_MARCHE_ARRIERE,KM_DE_SERVICE,SOURCE,CODE_CIRCUIT,SECTEUR_CIRCUIT,TOURNEE_CIRCUIT,JOURS_CIRCUIT,FLUX_CIRCUIT
9909,AUTO38171,2023-11-29,2023-11-29,2023-11-29,Collecte,qvjjsw3qoz,NE_T11_DOMENE OUEST_MER_CS_112010,43.0,632.0,3827.0,,43.0,14962,0.02,28.88,0.02,28.9,GAM,112010.0,NE,T11,MER,CS
9910,AUTO38172,2023-11-29,2023-11-29,2023-11-29,Collecte PAV,RJCrNlKBLn,PAV_1778_HER BRI VLH VLB VIZ_JEU_MULTI_170008,142.0,656.0,3691.0,,142.0,15057,0.1,40.31,0.1,40.41,GAM,170008.0,PAV,1778,JEU,MULTI
9911,AUTO38185,2023-11-29,2023-11-29,2023-11-29,Collecte,eiffgae8rm,,7571.0,60.0,4103.0,,59.0,14219,12.92,10.53,0.01,23.45,GAM,,,,,
9912,AUTO38173,2023-11-29,2023-11-29,2023-11-29,Collecte,duh6ayfpwb,NO_ZIZA FIB_VEUREY NOY_MER_FIB_130002,1949.0,595.0,2875.0,,,16982,2.47,67.71,,70.18,GAM,130002.0,NO,ZIZA FIB,MER,FIB
9913,AUTO38175,2023-11-29,2023-11-29,2023-11-29,Collecte,o9wlc4qekx,NE_T01_TRONC MEY S2_MER_CS_110003,25.0,222.0,,,25.0,10216,0.01,18.69,0.01,18.7,GAM,110003.0,NE,T01,MER,CS
9914,AUTO38174,2023-11-29,2023-11-29,2023-11-29,Collecte,sx65jiyczg,NE_T02_CORENC LE HT tra_MER_OMR_111008,274.0,962.0,2091.0,,274.0,14458,0.16,27.02,0.16,27.18,GAM,111008.0,NE,T02,MER,OMR
9915,AUTO38176,2023-11-29,2023-11-29,2023-11-29,Collecte,oF7I4xGfPC,NE_T17_DOMENE EST_MER_CS_112009,11388.0,266.0,3586.0,,174.0,18749,10.43,21.44,0.08,31.87,GAM,112009.0,NE,T17,MER,CS
9916,AUTO38177,2023-11-29,2023-11-29,2023-11-29,Collecte,bat8lwethv,NE_T12_CORENC LE BAS_MER_CS_111004,0.0,1076.0,809.0,,,15205,0.0,18.83,,18.83,GAM,111004.0,NE,T12,MER,CS
9917,AUTO38178,2023-11-29,2023-11-29,2023-11-29,Collecte,vhxnkra4on,NE_T15_CORENC LE BAS_MER_OMR_110029,7718.0,60.0,,,,8624,12.94,4.56,,17.5,GAM,110029.0,NE,T15,MER,OMR
9918,AUTO38179,2023-11-29,2023-11-29,2023-11-29,Autre,j364urbaz5,NE_TSAV_MAINTENANCE,1632.0,88.0,,,117.0,4157,1.8,21.43,0.03,23.23,GAM,,NE,TSAV,,
